date (UTC),description,moneyIn (BTC),moneyOut (BTC),tx hash,current balance (BTC)
3/11/20 1:32,PAYMENT RECEIVED,20888,0,749a9bc4558408b16be0286e52fa63419b8ec432e6f6e56c4ac80302fd467c8c,20888.00001
31/10/20 21:26,PAYMENT RECEIVED,5.47E-06,0,98a9b6abf87469eb411789c3189e8b8e7ed20757d105d05b8731d8325f2283c7,5.47E-06
31/10/20 1:44,PAYMENT SENT,0,-2822.871182,03fd43d30ae04f3db90a2547474b410ed32c43b5bb895de76a06a67e6a38ea9f,0
27/10/20 16:01,PAYMENT SENT,0,-1500.001929,329c1d255dfa4ebe4aa88e3c5fbdbcefba999d8bad7841b8f6447c8132e131fe,2822.871182
19/10/20 17:33,PAYMENT SENT,0,-2000.000562,10ef8d17457b52c24b7ce8c59e1fc25692403e459a0476f1fa43caeffb0d7d8c,7322.874001
19/10/20 17:33,PAYMENT SENT,0,-2000.000562,39d17bc78ed25158b5c2f705d8838f443834c9b106d34c55a23ad8e32bf0a75d,5322.873439
19/10/20 17:33,PAYMENT SENT,0,-1000.000328,7dbeca129c68c080e197e80e343be76db41185d654fd9c8dc1850c779a64d1d9,4322.873111
19/10/20 9:22,PAYMENT SENT,0,-2000.000424,e26b33bc56dd6e5af8b670c9b97d245034354ee118a3d91a359ac23873e5ffc4,9322.874563
15/10/20 5:41,PAYMENT RECEIVED,5.47E-06,0,1efc9519cc2861a0101cf96a3addd1a9a142e017208b66897e17bd9a517f55f3,11322.87499
29/9/20 21:57,PAYMENT SENT,0,-2000.000969,b4ce04ae4e0295c25003224bd7b5f99b0043c8d3022de3f1c92fbea3d49d1b09,11322.87498
24/9/20 5:42,PAYMENT RECEIVED,5.47E-06,0,44e72630f5dbe176854faa978d48acef4ee6038ce36b8e1c8b69471557e44b60,13322.87595
14/9/20 16:14,PAYMENT SENT,0,-2100.000863,ccfcc09233e79a41f327289f32604b5880252b8b58547b0eb2fb3ba70e1b23a8,13322.87595
14/9/20 13:36,PAYMENT SENT,0,-2000.001242,3058a00d8693cef3168ed4322a76d754a461acf63494a98e3075da582f3ba570,15422.87681
11/9/20 23:48,PAYMENT RECEIVED,5.47E-06,0,4b28ec751924b59e6531315698f3ec60f96cf5f7da649f4733859aa8859baae7,17422.87805
30/8/20 12:17,PAYMENT RECEIVED,5.47E-06,0,c91ecb6c8a32d7e4ccb89233675b25bc3459c4357066abfcda0985c7242385d8,17422.87805
19/8/20 0:16,PAYMENT RECEIVED,5.47E-06,0,1f9fae3a9ae64cdbea51038ca41a893cb2bd59d3424a2ec548b459fe6fc0f2ef,17422.87804
13/8/20 8:27,PAYMENT RECEIVED,5.47E-06,0,cc15bd8fb9196ebcfb28ff8b6b8d65fbdf696f9a7a6556fa35cbdc24d1f1c84d,17422.87803
