date (UTC),description,moneyIn (BTC),moneyOut (BTC),tx hash,current balance (BTC)
1/11/20 13:27,PAYMENT SENT,0,-2.25451,f0a839e65c7ba838f11ace6032774d15832999182176793505af651f173a3989,15560.98331
31/10/20 21:26,PAYMENT RECEIVED,5.47E-06,0,98a9b6abf87469eb411789c3189e8b8e7ed20757d105d05b8731d8325f2283c7,15563.23782
15/10/20 13:41,PAYMENT SENT,0,-458.2645985,ce24f1df2403d6b58b77cba91594235fad5ee070b7fab1b2fbf7580ce0d02d5b,15563.23782
15/10/20 5:41,PAYMENT RECEIVED,5.47E-06,0,1efc9519cc2861a0101cf96a3addd1a9a142e017208b66897e17bd9a517f55f3,16021.50241
14/10/20 22:38,PAYMENT RECEIVED,5.05E-05,0,cc8e7b858e52267fd53ed65e636d7928266f948a3743c44a20d9ecee80c73c05,16021.50241
24/9/20 14:12,PAYMENT SENT,0,-0.1602,6d878d5d4f1c6f5a6bef234fc16962de7d57fe16798d75b41575f4a61aaede96,16021.50236
24/9/20 5:42,PAYMENT RECEIVED,5.47E-06,0,44e72630f5dbe176854faa978d48acef4ee6038ce36b8e1c8b69471557e44b60,16021.66256
15/9/20 13:27,PAYMENT SENT,0,-24.04294399,d5f207621ec6888a79e1857d44e1d63d44788fb27ad16680a5b2f6f4b20355fb,16021.66255
12/9/20 0:08,PAYMENT RECEIVED,5.47E-06,0,dc865415b44d9e644e5868a8909dc95a05dae92635b5c48dda9d07d0bc77a3d4,16045.7055
31/8/20 13:13,PAYMENT SENT,0,-0.75840803,6aa6ad3c66e9ee9ed6aa888cdb49dc88a826ca69de7543e6fc490558f8db9e79,16045.70549
30/8/20 12:17,PAYMENT RECEIVED,5.47E-06,0,c91ecb6c8a32d7e4ccb89233675b25bc3459c4357066abfcda0985c7242385d8,16046.4639
19/8/20 16:41,PAYMENT SENT,0,-4.0014,4ae1eb064fa373c9432cc5fbb3092d71ca7fe13cbbd9149ccf3f1e7b24a7ff82,16046.46389
19/8/20 0:16,PAYMENT RECEIVED,5.47E-06,0,1f9fae3a9ae64cdbea51038ca41a893cb2bd59d3424a2ec548b459fe6fc0f2ef,16050.46529
14/8/20 13:12,PAYMENT SENT,0,-0.29,74d1cef4d0fd18994f360b5d3978964ce8c2e831a544b1136cea17058d8fc547,16050.46529
13/8/20 18:40,PAYMENT RECEIVED,5.47E-06,0,8589485bc2c2b224e8b882aa2d50b54ba43e5406eb6525aa3179a3f7839d5b4d,16050.75529
9/8/20 13:31,PAYMENT SENT,0,-50.25477799,a39c9e4d9fe53cced5ca7f6a9ee4d0fc89bc7bd32093b531ef5e5ed55b2c9910,16050.75528
