date (UTC),description,moneyIn (BTC),moneyOut (BTC),tx hash,current balance (BTC)
23/7/19 10:25,PAYMENT RECEIVED,5.47E-06,0,8163009e0c5a75c481593a75dda410389d04cb1973f8809b3d66baeba2aa9baf,0.00012678
15/4/19 18:53,PAYMENT RECEIVED,0.00010131,0,6e68d7a1814cfd879bfb12366a586425bb0ff3f34632986dcbb991d46175e8eb,0.00012131
4/2/19 16:42,PAYMENT RECEIVED,1.00E-05,0,725974fbd1a457508500de640194a6c83fdc5a9a1b97a16f3a0c3e9bd5490b99,2.00E-05
5/1/19 17:47,PAYMENT RECEIVED,1.00E-05,0,cad0cbe357e8320b1f1bcafc7447d4e86590a3ba2dd9306f926acd57bd9943f6,107203.0765
10/1/19 23:52,PAYMENT SENT,0,-20000,519cd862b85ca44bae36fe447022b5f3dae87517543ff5b31b4ff58aaa23a938,87203.07655
11/1/19 0:02,PAYMENT SENT,0,-87203.07655,f6c98463b7b6bc9c866e66a1341dac29e524071c553282f583e30f3009afb901,0
24/1/19 20:47,PAYMENT RECEIVED,1.00E-05,0,77d232a927536c6546545429df7eb0bba2cca535fea87c3f720e2c69e815be1a,1.00E-05
9/12/18 4:53,PAYMENT RECEIVED,8.88E-06,0,999715c7882b1179b5af0b153ab136d03b67d45fe17c204cd366b6bddd28290d,107203.0765
10/12/18 14:00,PAYMENT RECEIVED,1.00E-05,0,2a2031b2d4a86542491857eaf098bb875711d2c8efa05d0d5ab2853242e3632a,107203.0765
17/12/18 3:05,PAYMENT RECEIVED,1.01E-05,0,b743a2b7f09c4d03b7ea4d61d349a1a727c94f6320344c6e79553ec71657435f,107203.0765
18/12/18 23:19,PAYMENT RECEIVED,1.00E-05,0,41f895e3840900b4d3156fb469b72e26170953eb2d21b3b3369215ec69bfdc60,107203.0765
31/12/18 10:56,PAYMENT RECEIVED,2.02E-05,0,0e2555ae07897ef472095d1f71cb5d693a9b4629283f6812ce09dcf3c3c9e27d,107203.0765
2/11/18 23:31,PAYMENT RECEIVED,5.55E-06,0,281a0978e5fb3f4f1b6de298e70db86dec1d7c4ec48c661d9b60a87f510cc43d,107203.0755
3/11/18 10:49,PAYMENT RECEIVED,8.89E-05,0,8e7feeafc8475002fc1e96a706145cbf7cb5ac8b67654c2df9b916da7e3af10e,107203.0756
10/11/18 9:51,PAYMENT RECEIVED,6.66E-06,0,5484c1a39a3386e6e8654498cc797e4ae4e22c2394c007ecff6bc81b41e58aee,107203.0756
12/11/18 22:44,PAYMENT RECEIVED,0.00065,0,05e3e85177a0fc5f81154def5825741200d3cc445c96a251aa4015f31312ce9e,107203.0762
17/11/18 10:38,PAYMENT RECEIVED,7.77E-06,0,a8f4cf0eb0152fae9ecab1f372d48269f5f9da036309b8f2e7a4ba160ad3a799,107203.0762
23/11/18 8:20,PAYMENT RECEIVED,5.55E-06,0,6f7aa358296b753961150a1bb8afdceeda00601e745b5e6f6f9bc9d27d83d2a2,107203.0762
26/11/18 1:16,PAYMENT RECEIVED,0.00024892,0,a776dbacabd30a9eb682bc00cad4d4d48b8e1b94859762400d60b4241e30fc7a,107203.0765
11/10/18 16:00,PAYMENT RECEIVED,1.71E-05,0,82c6c6bbe2e372b1ba74d6b43ef098bdcb4b3ea10f17a529c37e258022bb49fa,107203.0704
13/10/18 10:17,PAYMENT RECEIVED,0.005,0,9d4ea8318abb23e6ff23a1cc552fe227a3c57af0a615ead8d3bfbe1782abd9d3,107203.0754
18/10/18 7:52,PAYMENT RECEIVED,6.67E-06,0,a8e96f7b9e98245ac58acd3927fd53d310586b9427955cdfa236e7e78fbdd258,107203.0754
21/10/18 14:12,PAYMENT RECEIVED,6.66E-06,0,ad2b58216d977597b357916f1ef0773864bee73f34c541f55c393b6598204bee,107203.0754
23/10/18 11:50,PAYMENT RECEIVED,8.88E-06,0,1d6580dcd979951bd600252b741c22a3ea8e605e43168f8452c68915c3ea2bf3,107203.0755
25/10/18 3:39,PAYMENT RECEIVED,7.77E-06,0,d44ff58d047f9007840b631f4d3e840bca373de42aca4d59c2023ec8030ed341,107203.0755
28/10/18 4:50,PAYMENT RECEIVED,5.55E-06,0,5cf2c6ecffde447c16cf42a09aef6b94daa584cf668aac2cd2003c2d35fbe09a,107203.0755
5/9/18 14:51,PAYMENT RECEIVED,1.00E-05,0,cf9ffb71b7c4eec8aa3a7b502febc68d25a154be22456cb9eb6bb7ee77376fe2,107203.0704
7/9/18 19:39,PAYMENT RECEIVED,1.57E-05,0,d54bd21dc8273db53377760f603d8b7773b67a51f67a25f475fcfc3606698cc0,107203.0704
12/8/18 19:01,PAYMENT RECEIVED,0.0001,0,f38af5f2a84e93d2bc4e900de4cc3ef412961a84150bd48d50c913dd5e736552,107203.0684
14/8/18 8:06,PAYMENT RECEIVED,0.002,0,851d6106c308b17125038ef1d51ef9e8ad140a1c3bc22f1b21cdf02d7c77a368,107203.0704
26/8/18 5:13,PAYMENT RECEIVED,6.84E-06,0,54948db98859671bd8d3f57460ad0e7be93f8c15343078a8d8809a60e8d16da3,107203.0704
3/7/18 6:10,PAYMENT RECEIVED,5.47E-06,0,750410cb8048b59ff50984dcebfb741e010ece65fba9db8f496039178a5af349,112203.0677
22/7/18 10:18,PAYMENT RECEIVED,5.05E-05,0,999752b936d14d930e72cc490d9fc7152d91cf28ca8bdc3a85ef596958d6483e,107203.0683
18/7/18 5:13,PAYMENT RECEIVED,7.19E-06,0,032a91f7cab76d605ae9eaf565aeed7fdf4603e6739a6de632cc4b643440caba,107203.0682
15/7/18 1:48,PAYMENT RECEIVED,5.74E-06,0,5df02773dd004b7c18a14fc2149cc4056b1a809bc82f6cbd6c58558170eb95c3,107203.0682
14/7/18 12:16,PAYMENT RECEIVED,0.00051582,0,e21af492c8435ac4e1f25595deedc83c15ed8df6806918c02854941322b537a9,107203.0682
7/7/18 15:15,PAYMENT RECEIVED,7.76E-06,0,e02387ae5f8e577f70722f523f79ce188e5489a2aba090fc161fffdc6e1c3a9c,107203.0677
7/7/18 14:23,PAYMENT RECEIVED,1.00E-05,0,fd502081d010787649d6855d58b2b9feef722851fcbfb6b4528d157aa1032229,107203.0677
4/7/18 17:31,PAYMENT SENT,0,-5000.000056,12779f6f559eb8375c81f09ef5d358cc759432a3b789b82b2a2a5508de9100dd,107203.0677
3/7/18 13:59,PAYMENT RECEIVED,7.77E-06,0,a22c570073e15d51de0cb62329197e55a25d1f70c9f668937ca8d43a94bf196a,112203.0677
28/7/18 17:25,PAYMENT RECEIVED,6.74E-06,0,f301034d51ed307a7651a35b7814dd81dfbae092cf2ec9c1f40a3ab12d757af7,107203.0683
13/6/18 0:50,PAYMENT SENT,0,-5000.000042,b9abac56cf6cc402c9afa203be0892ba1aca4952c4544083f9d0ceae3d08ffad,112203.0672
16/6/18 15:30,PAYMENT RECEIVED,0.00050505,0,e291e64abea0d02f4aebbc1a5777e0fbec57d60dcf0ef332ceba4e2487264923,112203.0677
19/6/18 15:43,PAYMENT RECEIVED,5.46E-06,0,ecdb4fc8cbeb93cd372eecb577f37e66ccacf6e575cc36c7fc3404b78b53aac7,112203.0677
4/5/18 14:57,PAYMENT SENT,0,-5000.0001,b65e462ec396c50fa527e9b2fdb61888873d4c134ba3f988408753708e2e63d4,132203.0673
