date (UTC),description,moneyIn (BTC),moneyOut (BTC),tx hash,current balance (BTC)
3/11/20 22:57,PAYMENT RECEIVED,251,0,3fa30cd1cc63b6db13d01d380884f750522b67fbb3d8c3c6e293e19a61936420,64699.79255
1/11/20 18:59,PAYMENT SENT,0,-500.000932,29ff8c5ca0d54fc8cb64b9ce5af51071d71e525031b5dea348484f6e8c1c634d,64448.79255
1/11/20 18:52,PAYMENT SENT,0,-1000.000932,06d506de1c282522baa53a777753288021451b4d72defb1276e506e505620fb4,64948.79348
1/11/20 18:52,PAYMENT SENT,0,-1000.000932,4c24ceaf1d463c43a71a8947f295a6276465ce87fd1946da6315f2a491653db3,65948.79442
1/11/20 18:52,PAYMENT SENT,0,-1000.000932,7f2b47fbda62748b3234b997f50be60403560ccab8e5391305d8af24a4cfb96c,66948.79535
1/11/20 18:52,PAYMENT SENT,0,-1000.000932,1bf6f9ccaa5d75ffb5affce19d4e923e16f3b1f24cd7051681b0b2b36108fd30,67948.79628
1/11/20 18:52,PAYMENT SENT,0,-1000.000932,dac41b6fbf7709ed9f24093791d6cc70b2ec666e274f03366b42a3d330fa7d30,68948.79721
1/11/20 18:27,PAYMENT SENT,0,-1000.000932,79b852012934fc572202ffb05a199c40f522696394b87e05648dabb9c5e4e6cb,69948.79814
1/11/20 18:27,PAYMENT SENT,0,-500.000932,25983f36c64113d7db7e05a9e79dec5045c1469465397447203b76aa694ff9a9,70948.79908
1/11/20 18:10,PAYMENT SENT,0,-500.000932,aa98b90795a2b88735d8d877c9a1f773728a926e16fa8396c6b306430b772bdc,71448.80001
1/11/20 18:10,PAYMENT SENT,0,-500.000932,a19491850ab8b3635646150e7e7f60d44735182e75e62ddfedad0185ed4ed885,71948.80094
1/11/20 18:04,PAYMENT SENT,0,-500.000932,dd053c96b545f9cab4d96151167bbe5ae7ce88f004b560e2b9f8bcb20413a49a,72448.80187
1/11/20 17:28,PAYMENT SENT,0,-250.000932,afdad878bb9bffdd01bb9050349bdadfe1ebccfb549bec6aa259e4795a99b52d,72948.8028
1/11/20 17:28,PAYMENT SENT,0,-250.005648,df83f7ba5eee2209bf3f6da39f634e3c48ba86f2ddd723c2c9e95251a8213c20,73198.80374
1/11/20 17:28,PAYMENT SENT,0,-250.000932,b1f8937d4cb9062788333e8ae41decaa5df6989e1768f7c7ccce5231017eb3b4,73448.80938
1/11/20 17:28,PAYMENT SENT,0,-250.008006,5426dfb3360d8ec6b1b3d3ff8527a187227c6424ad4ccf59ca96a9e8a4773742,73698.81032
31/10/20 22:17,PAYMENT SENT,0,-1000.000363,9a7072d1f933a2c27001aecd22a1aeee2b807de83174a09b2c3439077c1e70ae,73948.81832
31/10/20 4:27,PAYMENT SENT,0,-2500.000932,6bf18091d7aa7acadbdb6c63fc96d5e63cfa2c450f765c27115e52097168993e,74948.81868
31/10/20 1:44,PAYMENT RECEIVED,2401,0,e7e7d4f23a35803cd570bd0f74a98824f59eefacd1be9d33fda0267276c208bb,77448.81962
31/10/20 1:44,PAYMENT RECEIVED,1001,0,80f65354ed362a1a98d3365b8aa9b83f713f1b1b4fd66b8ba952cc2a93295fd2,75047.81962
29/10/20 23:59,PAYMENT SENT,0,-250.000932,86ae1d82ef49fa3c5a4d64059ba458233cecf0288f2cdb4f45e5ed1e425079df,74046.81962
24/10/20 2:34,PAYMENT RECEIVED,5.47E-06,0,8fe4b9bf1ec0fe7c96ee2e057e65a716c46dc87703e5814d9c45e0c207a38847,74296.82055
