date (UTC),description,moneyIn (Satoshi),moneyOut (Satoshi),tx hash,current balance (Satoshi)
7/6/20 4:33,PAYMENT RECEIVED,13015,0,50dbef264fdb4ae43e8083f37117e4bcd5d7c1ac8c94a41e2a54de6bf832a92a,16928174
14/5/20 15:20,PAYMENT RECEIVED,20000,0,50a24d7b290cc4e5daf558799517cac7e2600e22856f4c7100d089923f663af5,16915159
23/7/19 10:25,PAYMENT RECEIVED,547,0,8163009e0c5a75c481593a75dda410389d04cb1973f8809b3d66baeba2aa9baf,16895159
4/6/19 15:32,PAYMENT SENT,0,-3.62771E+12,ade2be579a0c58d38a6a812ce85ed96980313c3aca59d762a1779233bd64ede4,6.17627E+12
4/6/19 15:32,PAYMENT SENT,0,-1.90003E+11,61a640e8d76c741ea2399c930d6077e8634e35731bb1c7b6dbfffc59bee382e2,5.98626E+12
5/6/19 0:31,PAYMENT SENT,0,-3.63495E+12,86fb361b6098c5f8b083af539adbc0929d69dc6b3cdd516e29ea9761581510d9,2.35131E+12
5/6/19 0:50,PAYMENT SENT,0,-2.35129E+12,834dea449693ac8380eecd906936db0eb514ae9b4426def3e3534c8525447fea,16363440
5/6/19 1:55,PAYMENT RECEIVED,3216,0,fa2362a2d98244dd770df01391c436744f1a19f08d5a7ece27f6dde563772083,16366656
25/6/19 14:58,PAYMENT RECEIVED,527956,0,3ad32d30c93fb8d05e2bd10cbb2e099624d56408b83c8588b521ae7cddea93f4,16894612
8/5/19 12:06,PAYMENT SENT,0,-9999100000,f80ecb3bd56fe6e6c3727dfdcd4cfd18a741495fab26fe4991987fff31a6b3c9,1.08035E+13
11/5/19 13:35,PAYMENT RECEIVED,10000,0,04fff465e9ee179078ee7929699dffef6b91b390b5a7c3fe4f6fe27a919ae28a,1.08035E+13
22/5/19 2:45,PAYMENT SENT,0,-6.04447E+11,59f589f51fd054b82a083104b80692e3b5c05124661fcffdde7e0ad2e112ac65,1.0199E+13
22/5/19 2:50,PAYMENT SENT,0,-3.9504E+11,67b9e3c2e09d86d9628190162f7d7294bc169c62e0d8b242027485cfb719b790,9.80398E+12
28/5/19 21:27,PAYMENT RECEIVED,450000,0,4266f774bbd6fa3c65c147e236cf8b62cac4380283757300364f7232aad69d77,9.80398E+12
28/5/19 21:53,PAYMENT RECEIVED,400000,0,70aab2069d92a12a4dca75258ba45d325d5bbc02808b56ffa3d3d9cb7bb1da16,9.80398E+12
